uuid,page,field,gt,pred,levenshtein_distance,doc_conf,entity_conf,corrected
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Location.City,"Sorrento,","Sorrento,",0,0.616828,0.964536,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Location.Id,i,i,0,0.616828,1,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Location.Line1,25541 State Road 46,25541 State Road 46,0,0.616828,0.930531,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Location.State,FL,FL,0,0.616828,0.994462,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Location.Zip,32776,32776,0,0.616828,0.990081,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_BusinessName,"UNSHAKEABLE FAITH, LLC","UNSHAKEABLE FAITH, LLC",0,0.616828,0.616828,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_ClassCode.ClassCode,8869,8869,0,0.616828,0.948532,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_ClassCode.LocationId,1,1,0,0.616828,0.93891,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_ClassCode.Payroll,158.913,158.913,0,0.616828,0.781247,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_EffectiveDate,01/27/19,01/27/19,0,0.616828,1,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_Fein,46-4867022,46-4867022,0,0.616828,0.98752,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_LiabilityLimits.EachAccident,100,100,0,0.616828,0.987391,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_LiabilityLimits.EachEmployee,"1 00,000","1 00,000",0,0.616828,0.989726,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_LiabilityLimits.PolicyLimit,500,500,0,0.616828,0.866344,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_MailingAddress.City,"Sorrento,","Sorrento,",0,0.616828,0.990184,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_MailingAddress.Line1,25541 State Road 46,25541 State Road 46,0,0.616828,0.955234,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_MailingAddress.State,FL,FL,0,0.616828,1,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_MailingAddress.Zip,32776,32776,0,0.616828,0.996331,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,1,Quote_NatureOfBusiness,â–¡ay Care Center,â–¡ay Care Center,0,0.616828,0.960151,Yes
026e99a0-acd9-48e9-899e-c7f04a0aaf89,0,Quote_YearsInBusiness,3,3,0,0.616828,0.975986,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Location.City,"Pinole,","Pinole,",0,0.648436,0.955233,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Location.Id,1,1,0,0.648436,0.994289,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Location.Line1,"2550 Appian Way #207,","2550 Appian Way #207,",0,0.648436,0.958928,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Location.State,"CA,","CA,",0,0.648436,0.992286,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Location.Zip,94564,94564,0,0.648436,0.993954,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Quote_BusinessName,Silva Contractors Inc,Silva Contractors Inc,0,0.648436,0.941521,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.ClassCode,5201-1,5201-1,0,0.648436,0.648436,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.ClassCode,8742,8742,0,0.648436,0.799647,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.ClassCode,8810,8810,0,0.648436,0.905122,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.ClassCode,5205,5205,0,0.648436,0.750623,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.FullTimeEmployees,i,i,0,0.648436,0.947723,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.FullTimeEmployees,i,i,0,0.648436,0.87019,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.FullTimeEmployees,2,2,0,0.648436,0.952523,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.FullTimeEmployees,0,0,0,0.648436,0.759558,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.PartTimeEmployees,0,0,0,0.648436,0.955492,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.PartTimeEmployees,0,0,0,0.648436,0.868366,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.PartTimeEmployees,0,0,0,0.648436,0.91523,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.PartTimeEmployees,0,0,0,0.648436,0.752026,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.Payroll,138.24,138.24,0,0.648436,0.955088,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.Payroll,35.04,35.04,0,0.648436,0.936627,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,1,Quote_ClassCode.Payroll,96.151,96.151,0,0.648436,0.899907,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Quote_ContactInformation.Name,Benedito,Benedito,0,0.648436,0.987958,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Quote_ContactInformation.Phone,510-275-3329,510-275-3329,0,0.648436,0.97068,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Quote_EffectiveDate,6/8/2019,6/8/2019,0,0.648436,0.998278,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Quote_Fein,46-5633821,46-5633821,0,0.648436,0.948743,Yes
089ab63e-cfc0-4abb-995b-875b72312dc3,0,Quote_LegalEntities.Corporation,X,X,0,0.648436,0.9654,Yes
