uuid	page	field	gt	pred	levenshtein_distance	doc_conf	entity_conf
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Location.City	Sorrento,	Sorrento,	0	0.616828	0.964536
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Location.Id	i	i	0	0.616828	1.0
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Location.Line1	25541 State Road 46	25541 State Road 46	0	0.616828	0.930531
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Location.State	FL	FL	0	0.616828	0.994462
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Location.Zip	32776	32776	0	0.616828	0.990081
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_BusinessName	UNSHAKEABLE FAITH, LLC	UNSHAKEABLE FAITH, LLC	0	0.616828	0.616828
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_ClassCode.ClassCode	8869	8869	0	0.616828	0.948532
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_ClassCode.LocationId	1	1	0	0.616828	0.93891
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_ClassCode.Payroll	158,913	158,913	0	0.616828	0.781247
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_EffectiveDate	01/27/19	01/27/19	0	0.616828	1.0
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_Fein	46-4867022	46-4867022	0	0.616828	0.98752
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_LiabilityLimits.EachAccident	100,000	100,000	0	0.616828	0.987391
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_LiabilityLimits.EachEmployee	1 00,000	1 00,000	0	0.616828	0.989726
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_LiabilityLimits.PolicyLimit	500,000	500,000	0	0.616828	0.866344
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_MailingAddress.City	Sorrento,	Sorrento,	0	0.616828	0.990184
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_MailingAddress.Line1	25541 State Road 46	25541 State Road 46	0	0.616828	0.955234
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_MailingAddress.State	FL	FL	0	0.616828	1.0
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_MailingAddress.Zip	32776	32776	0	0.616828	0.996331
026e99a0-acd9-48e9-899e-c7f04a0aaf89	1	Quote_NatureOfBusiness	□ay Care Center	□ay Care Center	0	0.616828	0.960151
026e99a0-acd9-48e9-899e-c7f04a0aaf89	0	Quote_YearsInBusiness	3	3	0	0.616828	0.975986
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Location.City	Norwalk,	Norwalk,	0	0.519213	0.981206
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Location.Id	l	l	0	0.519213	0.980889
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Location.Line1	30 Oakwood Ave,	30 Oakwood Ave,	0	0.519213	0.976508
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Location.State	CT	CT	0	0.519213	0.99815
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Location.Zip	06850	06850	0	0.519213	0.996006
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	0	Quote_BusinessName	P2 Partners , Inc DBA: Homewatch Caregivers	P2 Partners , Inc DBA: Homewatch Caregivers	0	0.519213	0.877637
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	1	Quote_ClassCode.ClassCode	8810	8810	0	0.519213	0.947373
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	1	Quote_ClassCode.ClassCode	8835	8835	0	0.519213	0.729324
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	1	Quote_ClassCode.FullTimeEmployees	1	1	0	0.519213	0.519213
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	1	Quote_ClassCode.FullTimeEmployees	6	6	0	0.519213	0.769199
0a11e32f-3175-4240-b1f9-9c2ca5638e6d	1	Quote_ClassCode.LocationId	l	l	0	0.519213	0.899567
